_id,addedScope,username,status,publicKey,encryptedPrivateKey,issuerSignature,issuedPublicKey,firstName,lastName,fullName,address,district,city,state,email,birthDay,gender,phone,role,managementUnit,image,code,agency,shippingAgency,student
users0000000000000000014,,nongdan03,,,,,,Nông Dân,Phạm,,108 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,nd3@gmail.com,1/1/2000,1,123456801,roles0000000000000000008,managementunits000000005,,14,,,
users0000000000000000015,,chunhaphanphoi1,,,,,,Nhà Phân Phối,Nguyễn,,109 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,nhaphanphoi1@gmail.com,1/1/2000,0,123456802,roles0000000000000000009,managementunits000000006,,15,agencies0000000000000001,,
users0000000000000000016,,chunhaphanphoi2,,,,,,Nhà Phân Phối,Trần,,110 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,nhaphanphoi2@gmail.com,1/1/2000,1,123456803,roles0000000000000000009,managementunits000000006,,16,agencies0000000000000002,,
users0000000000000000017,,chunhaphanphoi3,,,,,,Nhà Phân Phối,Phạm,,111 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,nhaphanphoi3@gmail.com,1/1/2000,0,123456804,roles0000000000000000009,managementunits000000006,,17,agencies0000000000000003,,
users0000000000000000018,,chutongdaily1,,,,,,Tổng Đại Lý,Nguyễn,,112 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,tongdaily1@gmail.com,1/1/2000,1,123456805,roles0000000000000000009,managementunits000000006,,18,agencies0000000000000004,,
users0000000000000000019,,chutongdaily2,,,,,,Tổng Đại Lý,Trần,,113 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,tongdaily2@gmail.com,1/1/2000,0,123456806,roles0000000000000000009,managementunits000000006,,19,agencies0000000000000005,,
users0000000000000000020,,chutongdaily3,,,,,,Tổng Đại Lý,Phạm,,114 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,tongdaily3@gmail.com,1/1/2000,1,123456807,roles0000000000000000009,managementunits000000006,,20,agencies0000000000000006,,
users0000000000000000021,,chutongdaily4,,,,,,Tổng Đại Lý,Ngô,,115 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,tongdaily4@gmail.com,1/1/2000,0,123456808,roles0000000000000000009,managementunits000000006,,21,agencies0000000000000007,,
users0000000000000000022,,chutongdaily5,,,,,,Tổng Đại Lý,Lý,,116 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,tongdaily5@gmail.com,1/1/2000,1,123456809,roles0000000000000000009,managementunits000000006,,22,agencies0000000000000008,,
users0000000000000000023,,chudaily1,,,,,,Đại Lý,Nguyễn,,117 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,daily1@gmail.com,1/1/2000,0,123456810,roles0000000000000000009,managementunits000000006,,23,agencies0000000000000009,,
users0000000000000000024,,chudaily2,,,,,,Đại Lý,Trần,,118 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,daily2@gmail.com,1/1/2000,1,123456811,roles0000000000000000009,managementunits000000006,,24,agencies0000000000000010,,
users0000000000000000025,,chudaily3,,,,,,Đại Lý,Phạm,,119 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,daily3@gmail.com,1/1/2000,0,123456812,roles0000000000000000009,managementunits000000006,,25,agencies0000000000000011,,
users0000000000000000026,,chudaily4,,,,,,Đại Lý,Ngô,,120 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,daily4@gmail.com,1/1/2000,1,123456813,roles0000000000000000009,managementunits000000006,,26,agencies0000000000000012,,
users0000000000000000027,,chudaily5,,,,,,Đại Lý,Lý,,121 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,daily5@gmail.com,1/1/2000,0,123456814,roles0000000000000000009,managementunits000000006,,27,agencies0000000000000013,,
users0000000000000000028,,chudaily6,,,,,,Đại Lý,Lê,,122 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,daily6@gmail.com,1/1/2000,1,123456815,roles0000000000000000009,managementunits000000006,,28,agencies0000000000000014,,
users0000000000000000029,,chucuahangbanle1,,,,,,Bán Lẻ,Nguyễn,,123 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,banle1@gmail.com,1/1/2000,0,123456816,roles0000000000000000009,managementunits000000006,,29,agencies0000000000000015,,
users0000000000000000030,,chucuahangbanle2,,,,,,Bán Lẻ,Trần,,124 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,banle2@gmail.com,1/1/2000,1,123456817,roles0000000000000000009,managementunits000000006,,30,agencies0000000000000016,,
users0000000000000000031,,chucuahangbanle3,,,,,,Bán Lẻ,Phạm,,125 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,banle3@gmail.com,1/1/2000,0,123456818,roles0000000000000000009,managementunits000000006,,31,agencies0000000000000017,,
users0000000000000000032,,chucuahanggioithieusp1,,,,,,Cửa Hàng,Nguyễn, ,126 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,cuahang1@gmail.com,1/1/2000,1,123456819,roles0000000000000000009,managementunits000000006,,32,agencies0000000000000018,,
users0000000000000000033,,chucuahanggioithieusp2,,,,,,Cửa Hàng,Trần,,127 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,cuahang2@gmail.com,1/1/2000,0,123456820,roles0000000000000000009,managementunits000000006,,33,agencies0000000000000019,,
users0000000000000000034,,chucuahanggioithieusp3,,,,,,Cửa Hàng,Phạm,,128 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,cuahang3@gmail.com,1/1/2000,1,123456821,roles0000000000000000009,managementunits000000006,,34,agencies0000000000000020,,
users0000000000000000035,,banhang01,,,,,,Bán Hàng,Nguyễn,,129 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,bh1@gmail.com,1/1/2000,0,123456822,roles0000000000000000010,managementunits000000006,,35,agencies0000000000000015,,
users0000000000000000036,,banhang02,,,,,,Bán Hàng,Trần,,130 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,bh2@gmail.com,1/1/2000,1,123456823,roles0000000000000000010,managementunits000000006,,36,agencies0000000000000016,,
users0000000000000000037,,banhang03,,,,,,Bán Hàng,Phạm,,131 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,bh3@gmail.com,1/1/2000,0,123456824,roles0000000000000000010,managementunits000000006,,37,agencies0000000000000017,,
users0000000000000000038,,khovan01,,,,,,Kho Vận,Nguyễn,,132 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,kv1@gmail.com,1/1/2000,1,123456825,roles0000000000000000011,managementunits000000006,,38,agencies0000000000000015,,
users0000000000000000039,,khovan02,,,,,,Kho Vận,Trần,,133 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,kv2@gmail.com,1/1/2000,0,123456826,roles0000000000000000011,managementunits000000006,,39,agencies0000000000000016,,
users0000000000000000040,,khovan03,,,,,,Kho Vận,Phạm,,134 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,kv3@gmail.com,1/1/2000,1,123456827,roles0000000000000000011,managementunits000000006,,40,agencies0000000000000017,,
users0000000000000000041,,chudonvivanchuyen1,,,,,,Vận Chuyển,Nguyễn,,135 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,chuvanchuyen1@gmail.com,1/1/2000,0,123456828,roles0000000000000000012,managementunits000000007,,41,,shippingagencies00000001,
users0000000000000000042,,chudonvivanchuyen2,,,,,,Vận Chuyển,Trần,,136 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,chuvanchuyen2@gmail.com,1/1/2000,1,123456829,roles0000000000000000012,managementunits000000007,,42,,shippingagencies00000002,
users0000000000000000043,,chudonvivanchuyen3,,,,,,Vận Chuyển,Phạm,,137 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,chuvanchuyen3@gmail.com,1/1/2000,0,123456830,roles0000000000000000012,managementunits000000007,,43,,shippingagencies00000003,
users0000000000000000044,,chudonvivanchuyen4,,,,,,Vận Chuyển,Ngô,,138 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,chuvanchuyen4@gmail.com,1/1/2000,1,123456831,roles0000000000000000012,managementunits000000007,,44,,shippingagencies00000004,
users0000000000000000045,,vanchuyen01,,,,,,Shipper,Nguyễn,,139 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,vc1@gmail.com,1/1/2000,0,123456832,roles0000000000000000013,managementunits000000007,,45,,shippingagencies00000001,
users0000000000000000046,,vanchuyen02,,,,,,Shipper,Trần,,140 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,vc2@gmail.com,1/1/2000,1,123456833,roles0000000000000000013,managementunits000000007,,46,,shippingagencies00000002,
users0000000000000000047,,vanchuyen03,,,,,,Shipper,Phạm,,141 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,vc3@gmail.com,1/1/2000,0,123456834,roles0000000000000000013,managementunits000000007,,47,,shippingagencies00000003,
